# NEAD 1.0 UTF-8
# [METADATA]
# station_id       = AWS17
# latitude         = -65.9333
# longitude        = -61.85
# altitude         = 73
# nodata           = 
# field_delimiter  = ,
# tz               = 0
# doi              = 
# [FIELDS]
# fields           = 
time,t,t2m,q,q2m,rh,rh2m,ff,ff10m,ffmax,ffdir,p,SWd,SWu,LWd,LWu,Tsub1a,Tsub2a,Tsub3a,Tsub4a,Tsub5a,Tsub1b,Tsub2b,Tsub3b,Tsub4b,Tsub5b,z_surf,z_surf_filtered,cum_surface_height_zboom,z_u,Vbat,TCNR,Tlogger,LAT,LON,alb,Ts_obs,SHFdown,LHFdown,GHFup,cloud_cover,LWu_mod,SHFdown_mod,LHFdown_mod,GHFup_mod,Ts_mod,meltE,melt,cumulative_melt,sublimation,accumulation,LWC,LWC_10cm,Tsmax,Tmax,pnan_SEB,pnan_AWS
# units            = -,DegreeC,DegreeC,g/kg,g/kg,%,%,m/s,m/s,m/s,deg,hPa,W/m^2,W/m^2,W/m^2,W/m^2,DegreeC,DegreeC,DegreeC,DegreeC,DegreeC,DegreeC,DegreeC,DegreeC,DegreeC,DegreeC,m,m,m,m,V,DegreeC,DegreeC,deg,deg,-,DegreeC,W/m^2,W/m^2,W/m^2,-,W/m^2,W/m^2,W/m^2,W/m^2,DegreeC,W/m^2,kg/m^2/dt,kg/m^2,kg/m^2/dt,kg/m^2/dt,kg/m^2,kg/m^2,degreeC,degreeC,-,-
# [DATA]
2011-02-19,-1.641,-1.721, 2.862, 2.889,84.483,84.342, 3.689, 4.127, 5.055,47.767,980.317,331.462,259.391,272.244,306.714,-2.756,-3.394,-4.108,-3.578,-3.376,,,,,,,, 0.000, 4.000,14.277, 1.508,,,, 0.782,-2.108, 3.702,-8.877,-6.317, 0.730,309.788,-2.326,-13.931,-9.250,-1.277, 0.000, 0.000, 0.000,-0.018, 0.000, 0.000, 0.000,-1.840,-1.641,6,6
2011-02-20,-3.544,-3.852, 2.586, 2.567,89.729,87.987, 2.986, 3.159, 4.210,161.133,986.137,230.189,188.870,250.592,295.806,-3.381,-3.452,-3.780,-3.495,-3.516,,,,,,,, 0.000, 4.000,14.223, 0.667,,,, 0.826,-4.718, 3.401,-3.190, 4.233, 0.406,294.790, 3.974,-3.229, 4.753,-4.647, 0.000, 0.000, 0.000,-0.004, 0.000, 0.000, 0.000,-1.700,-3.544,24,24
2011-02-21,-7.247,-6.951, 2.056, 2.127,99.431,93.543, 0.856, 0.923, 1.608,118.771,999.942,166.963,142.722,286.649,289.493,-4.138,-3.992,-4.042,-3.502,-3.513,,,,,,,, 0.000, 4.000,14.203,-3.672,,,, 0.858,-5.649,-4.799,-4.064, 0.427, 0.987,295.394,-9.268,-7.033,-1.348,-4.514, 0.000, 0.000, 0.000,-0.009, 0.000, 0.000, 0.000,-3.110,-7.247,24,24
2011-02-22,-4.113,-4.018, 2.594, 2.610,95.821,91.908, 3.243, 3.571, 4.763,145.046,998.483,222.186,187.141,276.428,298.206,-2.567,-2.822,-3.339,-3.459,-3.538,,,,,,,, 0.000, 4.000,14.195,-1.742,,,, 0.840,-4.053, 0.118,-5.220, 1.770, 0.703,299.318,-3.562,-7.688, 4.566,-3.622, 2.898, 0.024, 0.220,-0.010, 0.000, 0.020, 0.020,-0.840,-4.113,24,24
2011-02-23,-0.982,-0.774, 2.782, 2.845,78.263,76.256, 4.355, 4.809, 6.539,75.125,992.438,202.885,164.783,274.269,299.325,-3.112,-3.045,-3.319,-3.365,-3.517,,,,,,, 3.989, 0.000, 4.000,14.200, 0.387,,,, 0.808,-3.288,17.074,-5.385,-2.997, 0.628,300.868,17.271,-5.226,-0.874,-3.321,25.634, 0.272, 2.146,-0.006, 0.000, 1.123, 1.049, 0.440,-0.982,24,24
2011-02-24, 2.492, 2.109, 3.219, 3.220,68.667,69.118,10.127,10.859,13.868,269.679,971.217,200.224,157.507,261.363,313.329,-0.134, 0.170,-0.179,-1.494,-2.518,,,,,, 3.987, 3.989, 0.000, 4.000,14.242, 3.227,,,, 0.784,-0.588,45.066,-22.000, 6.877, 0.317,313.092,43.188,-22.178, 8.669,-0.556,19.577, 0.210, 9.840,-0.029, 0.000, 5.310, 3.418, 0.420, 2.492,24,24
2011-02-25,-0.795,-0.913, 2.740, 2.777,75.638,76.025, 3.598, 4.075, 5.159,197.346,973.567,173.825,134.685,267.712,305.236,-0.220, 0.193,-0.102,-0.473,-1.423,,,,,,, 3.988, 0.002, 3.998,14.228, 0.822,,,, 0.775,-2.348, 9.178,-9.777, 1.410, 0.513,307.404, 6.905,-11.821,15.382,-1.808, 9.035, 0.093,12.753,-0.015, 0.000, 4.229, 1.892,-0.360,-0.795,24,24
2011-02-26,-2.983,-3.068, 2.591, 2.600,84.357,82.428, 2.364, 2.360, 3.793,172.537,978.921,209.848,160.406,239.610,292.253,-2.657,-2.346,-2.215,-1.131,-1.365,,,,,,, 3.987, 0.003, 3.997,14.221,-0.346,,,, 0.762,-5.323, 7.629,-1.194, 5.677, 0.277,297.021, 4.165,-3.856,17.957,-4.194,10.235, 0.107,15.095,-0.005, 0.000, 1.512, 0.655, 0.160,-2.983,24,24
2011-02-27,-6.332,-6.604, 2.106, 2.095,92.281,88.050, 4.883, 5.379, 6.148,175.858,982.637,189.522,146.178,247.566,286.121,-2.954,-2.481,-2.571,-1.610,-1.708,,,,,,, 3.986, 0.004, 3.996,14.193,-5.115,,,, 0.773,-6.767, 0.949,-7.536, 7.397, 0.516,288.748,-6.929,-12.152,15.834,-6.030, 0.000, 0.000,16.920,-0.015, 0.000, 0.092, 0.092,-4.710,-6.332,24,24
2011-02-28,-6.067,-6.034, 2.275, 2.295,97.708,92.573, 2.786, 2.973, 3.897,208.200,983.367,163.584,132.201,275.519,290.791,-3.408,-3.028,-3.332,-2.520,-2.164,,,,,,, 3.984, 0.006, 3.994,14.160,-4.285,,,, 0.810,-5.657,-2.462,-4.916, 1.961, 0.786,292.919,-7.301,-8.339, 3.842,-5.085, 0.000, 0.000,16.920,-0.011, 0.000, 0.000, 0.000,-3.570,-6.067,24,24
2011-03-01,-6.819,-6.533, 2.175, 2.247,97.110,91.376, 1.508, 1.598, 3.126,162.221,985.571,138.159,114.455,275.618,285.468,-5.141,-4.784,-4.583,-3.182,-2.621,,,,,,, 3.983, 0.007, 3.993,14.168,-4.326,,,, 0.827,-6.552,-0.490,-1.872,-0.862, 0.859,291.116,-4.506,-4.572,-1.029,-5.532, 0.389, 0.004,16.937,-0.006, 0.000, 0.000, 0.000,-1.270,-6.819,24,24
2011-03-02,-5.893,-6.302, 2.258, 2.197,91.235,86.621, 6.344, 6.935, 8.073,189.471,975.171,148.469,123.847,266.331,288.700,-3.753,-3.437,-3.753,-3.336,-3.039,,,,,,, 3.981, 0.008, 3.992,14.182,-4.741,,,, 0.835,-6.507, 0.201,-11.354, 8.083, 0.670,286.723,-0.117,-11.311,10.078,-6.534, 0.000, 0.000,17.010,-0.014, 0.038, 0.000, 0.000,-2.170,-5.893,24,24
2011-03-03,-9.735,-9.659, 1.654, 1.681,96.643,88.675, 3.956, 4.680, 5.277,206.704,978.092,111.877,96.139,266.765,272.967,-6.800,-6.455,-6.047,-4.404,-3.457,,,,,,, 3.979, 0.012, 3.988,14.123,-8.585,,,, 0.860,-9.626,-2.523,-6.607, 4.832, 0.864,275.111,-6.071,-8.543, 4.696,-9.260, 0.000, 0.000,17.010,-0.010, 0.002, 0.000, 0.000,-5.670,-9.735,24,24
2011-03-04,-9.730,-9.797, 1.570, 1.580,92.245,84.722, 9.607,10.044,11.208,202.200,974.050,125.443,111.275,258.949,272.849,-6.666,-6.410,-6.324,-5.242,-4.124,,,,,, 3.976, 3.977, 0.012, 3.988,14.110,-8.912,,,, 0.889,-9.971, 0.518,-13.944, 6.657, 0.722,270.944, 4.942,-12.162, 8.082,-10.240, 0.000, 0.000,17.010,-0.016, 0.066, 0.000, 0.000,-8.620,-9.730,24,24
2011-03-05,-11.205,-10.921, 1.551, 1.612,98.172,88.959, 1.114, 1.206, 1.830,190.639,981.288,118.896,106.156,251.707,265.175,-9.559,-9.198,-8.565,-6.333,-4.735,,,,,,, 3.974, 0.018, 3.982,14.106,-9.011,,,, 0.894,-11.415, 0.044,-1.710, 0.675, 0.748,267.001,-0.278,-1.738, 0.974,-11.354, 0.000, 0.000,17.010,-0.002, 0.059, 0.000, 0.000,-4.370,-11.205,24,24
2011-03-06,-8.276,-8.473, 1.915, 1.891,98.483,91.068, 7.702, 8.850, 9.062,203.229,977.696,115.830,101.513,275.598,279.466,-6.466,-6.243,-6.561,-6.170,-5.244,,,,,, 3.962, 3.968, 0.024, 3.977,14.150,-7.679,,,, 0.874,-8.415,-2.201,-9.482, 4.160, 0.890,278.401,-4.406,-10.412, 4.577,-8.448, 0.000, 0.000,17.010,-0.013, 0.062, 0.000, 0.000,-5.600,-8.276,24,24
2011-03-07,-11.803,-11.967, 1.320, 1.316,93.781,84.320, 5.522, 5.479, 6.613,199.938,982.738,178.418,154.597,234.429,263.416,-8.594,-8.309,-7.932,-6.481,-5.440,,,,,,, 3.962, 0.029, 3.971,14.116,-9.738,,,, 0.866,-12.416, 1.710,-6.186,10.233, 0.513,262.413, 2.991,-5.796, 9.613,-12.346, 0.000, 0.000,17.010,-0.008, 0.001, 0.000, 0.000,-10.010,-11.803,24,24
2011-03-08,-11.987,-11.871, 1.351, 1.377,98.045,87.980, 3.391, 3.810, 4.309,199.592,986.183,110.182,99.686,264.595,264.943,-9.103,-8.816,-8.513,-7.042,-5.824,,,,,, 3.964, 3.959, 0.029, 3.971,14.096,-10.992,,,, 0.907,-11.454,-4.010,-5.497, 1.719, 0.940,266.742,-6.755,-6.498, 2.075,-11.260, 0.000, 0.000,17.010,-0.008, 0.000, 0.000, 0.000,-9.580,-11.987,24,24
2011-03-09,-12.108,-12.072, 1.352, 1.370,99.451,89.063, 1.811, 1.898, 2.113,211.658,985.988,98.655,93.679,268.082,265.864,-8.918,-8.656,-8.480,-7.245,-6.123,,,,,, 3.953, 3.959, 0.032, 3.968,14.088,-11.151,,,, 0.950,-11.510,-2.454,-3.117, 3.852, 0.956,267.619,-4.454,-4.007, 3.094,-11.042, 0.000, 0.000,17.010,-0.005, 0.000, 0.000, 0.000,-10.680,-12.108,24,24
